LOCATION	Country	TIME	ST	LT
CZE	Czech.Republic	2014-01	0.37	2.43
CZE	Czech.Republic	2014-02	0.37	2.28
CZE	Czech.Republic	2014-03	0.37	2.2
CZE	Czech.Republic	2014-04	0.37	2
CZE	Czech.Republic	2014-05	0.37	1.73
CZE	Czech.Republic	2014-06	0.35	1.55
CZE	Czech.Republic	2014-07	0.35	1.49
CZE	Czech.Republic	2014-08	0.35	1.38
CZE	Czech.Republic	2014-09	0.35	1.21
CZE	Czech.Republic	2014-10	0.35	1.1
CZE	Czech.Republic	2014-11	0.34	0.87
CZE	Czech.Republic	2014-12	0.34	0.67
CZE	Czech.Republic	2015-01	0.33	0.35
CZE	Czech.Republic	2015-02	0.33	0.4
CZE	Czech.Republic	2015-03	0.32	0.35
CZE	Czech.Republic	2015-04	0.31	0.26
CZE	Czech.Republic	2015-05	0.31	0.6
CZE	Czech.Republic	2015-06	0.31	1.01
CZE	Czech.Republic	2015-07	0.31	0.97
CZE	Czech.Republic	2015-08	0.31	0.74
CZE	Czech.Republic	2015-09	0.3	0.68
CZE	Czech.Republic	2015-10	0.29	0.56
CZE	Czech.Republic	2015-11	0.29	0.49
CZE	Czech.Republic	2015-12	0.29	0.49
CZE	Czech.Republic	2016-01	0.29	0.62
CZE	Czech.Republic	2016-02	0.28	0.46
CZE	Czech.Republic	2016-03	0.29	0.35
CZE	Czech.Republic	2016-04	0.29	0.43
CZE	Czech.Republic	2016-05	0.29	0.46
CZE	Czech.Republic	2016-06	0.29	0.45
CZE	Czech.Republic	2016-07	0.29	0.37
CZE	Czech.Republic	2016-08	0.29	0.29
CZE	Czech.Republic	2016-09	0.29	0.25
CZE	Czech.Republic	2016-10	0.29	0.37
CZE	Czech.Republic	2016-11	0.29	0.55
CZE	Czech.Republic	2016-12	0.29	0.53
CZE	Czech.Republic	2017-01	0.28	0.47
CZE	Czech.Republic	2017-02	0.28	0.63
CZE	Czech.Republic	2017-03	0.28	0.87
CZE	Czech.Republic	2017-04	0.29	0.96
CZE	Czech.Republic	2017-05	0.3	0.74
CZE	Czech.Republic	2017-06	0.3	0.77
CZE	Czech.Republic	2017-07	0.3	0.9
CZE	Czech.Republic	2017-08	0.43	0.83
CZE	Czech.Republic	2017-09	0.46	0.97
CZE	Czech.Republic	2017-10	0.51	1.45
CZE	Czech.Republic	2017-11	0.71	1.68
CZE	Czech.Republic	2017-12	0.75	1.5
DEU	Germany	2000-01	3.3431	5.54
DEU	Germany	2000-02	3.5368	5.51
DEU	Germany	2000-03	3.747	5.33
DEU	Germany	2000-04	3.9253	5.22
DEU	Germany	2000-05	4.362	5.38
DEU	Germany	2000-06	4.5017	5.19
DEU	Germany	2000-07	4.5829	5.27
DEU	Germany	2000-08	4.7771	5.21
DEU	Germany	2000-09	4.8528	5.26
DEU	Germany	2000-10	5.0413	5.21
DEU	Germany	2000-11	5.092	5.15
DEU	Germany	2000-12	4.9392	4.89
DEU	Germany	2001-01	4.7707	4.8
DEU	Germany	2001-02	4.7558	4.78
DEU	Germany	2001-03	4.7086	4.67
DEU	Germany	2001-04	4.682	4.83
DEU	Germany	2001-05	4.6367	5.05
DEU	Germany	2001-06	4.4536	5
DEU	Germany	2001-07	4.4671	5.02
DEU	Germany	2001-08	4.3535	4.82
DEU	Germany	2001-09	3.9829	4.81
DEU	Germany	2001-10	3.5999	4.6
DEU	Germany	2001-11	3.3857	4.45
DEU	Germany	2001-12	3.3449	4.74
DEU	Germany	2002-01	3.3388	4.86
DEU	Germany	2002-02	3.3571	4.92
DEU	Germany	2002-03	3.3908	5.16
DEU	Germany	2002-04	3.4069	5.15
DEU	Germany	2002-05	3.4671	5.17
DEU	Germany	2002-06	3.464	5.02
DEU	Germany	2002-07	3.41	4.87
DEU	Germany	2002-08	3.3519	4.59
DEU	Germany	2002-09	3.3101	4.38
DEU	Germany	2002-10	3.2613	4.46
DEU	Germany	2002-11	3.1241	4.48
DEU	Germany	2002-12	2.941	4.33
DEU	Germany	2003-01	2.8318	4.18
DEU	Germany	2003-02	2.6875	3.95
DEU	Germany	2003-03	2.53	4
DEU	Germany	2003-04	2.5333	4.15
DEU	Germany	2003-05	2.4005	3.82
DEU	Germany	2003-06	2.1519	3.62
DEU	Germany	2003-07	2.13	3.97
DEU	Germany	2003-08	2.1404	4.13
DEU	Germany	2003-09	2.1473	4.17
DEU	Germany	2003-10	2.1436	4.22
DEU	Germany	2003-11	2.159	4.35
DEU	Germany	2003-12	2.1463	4.29
DEU	Germany	2004-01	2.0895	4.17
DEU	Germany	2004-02	2.0706	4.11
DEU	Germany	2004-03	2.0288	3.91
DEU	Germany	2004-04	2.0488	4.1
DEU	Germany	2004-05	2.0859	4.25
DEU	Germany	2004-06	2.1127	4.31
DEU	Germany	2004-07	2.116	4.24
DEU	Germany	2004-08	2.1143	4.08
DEU	Germany	2004-09	2.1186	4.02
DEU	Germany	2004-10	2.1473	3.89
DEU	Germany	2004-11	2.1703	3.78
DEU	Germany	2004-12	2.1732	3.58
DEU	Germany	2005-01	2.1454	3.56
DEU	Germany	2005-02	2.1384	3.54
DEU	Germany	2005-03	2.1372	3.7
DEU	Germany	2005-04	2.1372	3.48
DEU	Germany	2005-05	2.1256	3.3
DEU	Germany	2005-06	2.111	3.13
DEU	Germany	2005-07	2.1194	3.2
DEU	Germany	2005-08	2.1325	3.23
DEU	Germany	2005-09	2.1391	3.07
DEU	Germany	2005-10	2.1966	3.24
DEU	Germany	2005-11	2.3609	3.45
DEU	Germany	2005-12	2.4729	3.34
DEU	Germany	2006-01	2.5117	3.32
DEU	Germany	2006-02	2.6004	3.47
DEU	Germany	2006-03	2.7226	3.64
DEU	Germany	2006-04	2.7938	3.89
DEU	Germany	2006-05	2.889	3.96
DEU	Germany	2006-06	2.9857	3.96
DEU	Germany	2006-07	3.1022	4.01
DEU	Germany	2006-08	3.2265	3.88
DEU	Germany	2006-09	3.3354	3.75
DEU	Germany	2006-10	3.502	3.79
DEU	Germany	2006-11	3.5972	3.71
DEU	Germany	2006-12	3.6842	3.77
DEU	Germany	2007-01	3.7519	4.02
DEU	Germany	2007-02	3.8182	4.05
DEU	Germany	2007-03	3.8909	3.94
DEU	Germany	2007-04	3.9753	4.15
DEU	Germany	2007-05	4.0714	4.28
DEU	Germany	2007-06	4.1478	4.56
DEU	Germany	2007-07	4.2162	4.5
DEU	Germany	2007-08	4.5436	4.3
DEU	Germany	2007-09	4.7417	4.22
DEU	Germany	2007-10	4.6874	4.28
DEU	Germany	2007-11	4.6385	4.09
DEU	Germany	2007-12	4.8484	4.21
DEU	Germany	2008-01	4.4815	4.03
DEU	Germany	2008-02	4.3621	3.95
DEU	Germany	2008-03	4.5964	3.8
DEU	Germany	2008-04	4.7835	4.04
DEU	Germany	2008-05	4.8574	4.2
DEU	Germany	2008-06	4.9405	4.52
DEU	Germany	2008-07	4.961	4.49
DEU	Germany	2008-08	4.9652	4.2
DEU	Germany	2008-09	5.0192	4.09
DEU	Germany	2008-10	5.1131	3.88
DEU	Germany	2008-11	4.2383	3.56
DEU	Germany	2008-12	3.2926	3.05
DEU	Germany	2009-01	2.4565	3.07
DEU	Germany	2009-02	1.9431	3.13
DEU	Germany	2009-03	1.6355	3.02
DEU	Germany	2009-04	1.4223	3.13
DEU	Germany	2009-05	1.2817	3.37
DEU	Germany	2009-06	1.2279	3.47
DEU	Germany	2009-07	0.975	3.34
DEU	Germany	2009-08	0.8605	3.31
DEU	Germany	2009-09	0.7721	3.26
DEU	Germany	2009-10	0.7375	3.21
DEU	Germany	2009-11	0.7162	3.22
DEU	Germany	2009-12	0.712	3.14
DEU	Germany	2010-01	0.6798	3.26
DEU	Germany	2010-02	0.6617	3.17
DEU	Germany	2010-03	0.645	3.1
DEU	Germany	2010-04	0.6447	3.06
DEU	Germany	2010-05	0.6865	2.73
DEU	Germany	2010-06	0.7276	2.54
DEU	Germany	2010-07	0.8488	2.62
DEU	Germany	2010-08	0.8955	2.35
DEU	Germany	2010-09	0.8805	2.3
DEU	Germany	2010-10	0.9977	2.35
DEU	Germany	2010-11	1.042	2.53
DEU	Germany	2010-12	1.0217	2.91
DEU	Germany	2011-01	1.0172	3.02
DEU	Germany	2011-02	1.0867	3.2
DEU	Germany	2011-03	1.1755	3.21
DEU	Germany	2011-04	1.3212	3.34
DEU	Germany	2011-05	1.4251	3.06
DEU	Germany	2011-06	1.4886	2.89
DEU	Germany	2011-07	1.5976	2.74
DEU	Germany	2011-08	1.5521	2.21
DEU	Germany	2011-09	1.5365	1.83
DEU	Germany	2011-10	1.5759	2
DEU	Germany	2011-11	1.4847	1.87
DEU	Germany	2011-12	1.4261	1.93
DEU	Germany	2012-01	1.2222	1.82
DEU	Germany	2012-02	1.0483	1.85
DEU	Germany	2012-03	0.8585	1.83
DEU	Germany	2012-04	0.7443	1.62
DEU	Germany	2012-05	0.6849	1.34
DEU	Germany	2012-06	0.6589	1.3
DEU	Germany	2012-07	0.497	1.24
DEU	Germany	2012-08	0.3324	1.34
DEU	Germany	2012-09	0.2463	1.49
DEU	Germany	2012-10	0.2079	1.47
DEU	Germany	2012-11	0.192	1.34
DEU	Germany	2012-12	0.1855	1.3
DEU	Germany	2013-01	0.2049	1.51
DEU	Germany	2013-02	0.2234	1.54
DEU	Germany	2013-03	0.2061	1.35
DEU	Germany	2013-04	0.2089	1.2
DEU	Germany	2013-05	0.2012	1.29
DEU	Germany	2013-06	0.2103	1.53
DEU	Germany	2013-07	0.2214	1.56
DEU	Germany	2013-08	0.2259	1.73
DEU	Germany	2013-09	0.2232	1.89
DEU	Germany	2013-10	0.2258	1.76
DEU	Germany	2013-11	0.2234	1.68
DEU	Germany	2013-12	0.2735	1.8
DEU	Germany	2014-01	0.292	1.76
DEU	Germany	2014-02	0.2881	1.56
DEU	Germany	2014-03	0.3053	1.51
DEU	Germany	2014-04	0.3297	1.46
DEU	Germany	2014-05	0.3246	1.33
DEU	Germany	2014-06	0.2414	1.26
DEU	Germany	2014-07	0.205	1.11
DEU	Germany	2014-08	0.1916	0.95
DEU	Germany	2014-09	0.0971	0.92
DEU	Germany	2014-10	0.0826	0.79
DEU	Germany	2014-11	0.0809	0.72
DEU	Germany	2014-12	0.0809	0.59
DEU	Germany	2015-01	0.0627	0.39
DEU	Germany	2015-02	0.0482	0.3
DEU	Germany	2015-03	0.0272	0.23
DEU	Germany	2015-04	0.0047	0.12
DEU	Germany	2015-05	-0.0104	0.56
DEU	Germany	2015-06	-0.0139	0.79
DEU	Germany	2015-07	-0.0187	0.71
DEU	Germany	2015-08	-0.0277	0.61
DEU	Germany	2015-09	-0.037	0.65
DEU	Germany	2015-10	-0.0536	0.52
DEU	Germany	2015-11	-0.0876	0.52
DEU	Germany	2015-12	-0.1263	0.55
DEU	Germany	2016-01	-0.1461	0.43
DEU	Germany	2016-02	-0.1836	0.17
DEU	Germany	2016-03	-0.2285	0.17
DEU	Germany	2016-04	-0.2492	0.13
DEU	Germany	2016-05	-0.2572	0.13
DEU	Germany	2016-06	-0.2679	-0.02
DEU	Germany	2016-07	-0.2945	-0.15
DEU	Germany	2016-08	-0.2982	-0.13
DEU	Germany	2016-09	-0.3016	-0.09
DEU	Germany	2016-10	-0.309	0
DEU	Germany	2016-11	-0.3127	0.19
DEU	Germany	2016-12	-0.3158	0.25
DEU	Germany	2017-01	-0.3255	0.25
DEU	Germany	2017-02	-0.3286	0.26
DEU	Germany	2017-03	-0.3293	0.35
DEU	Germany	2017-04	-0.3304	0.22
DEU	Germany	2017-05	-0.3295	0.34
DEU	Germany	2017-06	-0.33	0.25
DEU	Germany	2017-07	-0.3304	0.46
DEU	Germany	2017-08	-0.3291	0.35
DEU	Germany	2017-09	-0.3294	0.35
DEU	Germany	2017-10	-0.3295	0.37
DEU	Germany	2017-11	-0.329	0.31
DEU	Germany	2017-12	-0.3279	0.3
DNK	Denmark	2000-01	3.7165	5.8686
DNK	Denmark	2000-02	3.9332	5.8467
DNK	Denmark	2000-03	4.1848	5.6496
DNK	Denmark	2000-04	4.3271	5.5741
DNK	Denmark	2000-05	4.6999	5.7895
DNK	Denmark	2000-06	5.1762	5.6958
DNK	Denmark	2000-07	5.7755	5.7895
DNK	Denmark	2000-08	5.6575	5.6739
DNK	Denmark	2000-09	6.1017	5.6748
DNK	Denmark	2000-10	5.553	5.5991
DNK	Denmark	2000-11	5.4961	5.5205
DNK	Denmark	2000-12	5.3859	5.2395
DNK	Denmark	2001-01	5.342	5.145
DNK	Denmark	2001-02	5.272	5.115
DNK	Denmark	2001-03	5.1622	5.0086
DNK	Denmark	2001-04	5.1257	5.1356
DNK	Denmark	2001-05	5.1075	5.3476
DNK	Denmark	2001-06	4.9618	5.3284
DNK	Denmark	2001-07	4.9324	5.3155
DNK	Denmark	2001-08	4.8076	5.1196
DNK	Denmark	2001-09	4.4334	5.1125
DNK	Denmark	2001-10	3.9596	4.8583
DNK	Denmark	2001-11	3.701	4.6655
DNK	Denmark	2001-12	3.6365	4.9722
DNK	Denmark	2002-01	3.6348	5.0832
DNK	Denmark	2002-02	3.6046	5.1445
DNK	Denmark	2002-03	3.6376	5.3984
DNK	Denmark	2002-04	3.6666	5.4025
DNK	Denmark	2002-05	3.7262	5.4171
DNK	Denmark	2002-06	3.7322	5.2711
DNK	Denmark	2002-07	3.678	5.13
DNK	Denmark	2002-08	3.579	4.875
DNK	Denmark	2002-09	3.4523	4.7405
DNK	Denmark	2002-10	3.4359	4.81
DNK	Denmark	2002-11	3.3108	4.7919
DNK	Denmark	2002-12	3.0713	4.6074
DNK	Denmark	2003-01	2.9731	4.4264
DNK	Denmark	2003-02	2.8343	4.21
DNK	Denmark	2003-03	2.6663	4.2638
DNK	Denmark	2003-04	2.668	4.4089
DNK	Denmark	2003-05	2.5404	4.0875
DNK	Denmark	2003-06	2.2132	3.8505
DNK	Denmark	2003-07	2.1779	4.1657
DNK	Denmark	2003-08	2.185	4.3514
DNK	Denmark	2003-09	2.186	4.4005
DNK	Denmark	2003-10	2.1955	4.4383
DNK	Denmark	2003-11	2.2126	4.572
DNK	Denmark	2003-12	2.2246	4.5179
DNK	Denmark	2004-01	2.1933	4.3505
DNK	Denmark	2004-02	2.1793	4.2975
DNK	Denmark	2004-03	2.1447	4.0965
DNK	Denmark	2004-04	2.1688	4.3011
DNK	Denmark	2004-05	2.1964	4.4633
DNK	Denmark	2004-06	2.2099	4.5323
DNK	Denmark	2004-07	2.2183	4.6205
DNK	Denmark	2004-08	2.2088	4.4509
DNK	Denmark	2004-09	2.2108	4.3755
DNK	Denmark	2004-10	2.2057	4.229
DNK	Denmark	2004-11	2.2064	4.0932
DNK	Denmark	2004-12	2.1976	3.8462
DNK	Denmark	2005-01	2.1958	3.7348
DNK	Denmark	2005-02	2.1894	3.64
DNK	Denmark	2005-03	2.186	3.8145
DNK	Denmark	2005-04	2.181	3.582
DNK	Denmark	2005-05	2.1759	3.386
DNK	Denmark	2005-06	2.1609	3.1582
DNK	Denmark	2005-07	2.1628	3.2048
DNK	Denmark	2005-08	2.1729	3.24
DNK	Denmark	2005-09	2.1766	3.0509
DNK	Denmark	2005-10	2.2178	3.2176
DNK	Denmark	2005-11	2.3908	3.4618
DNK	Denmark	2005-12	2.4802	3.3529
DNK	Denmark	2006-01	2.5246	3.3114
DNK	Denmark	2006-02	2.6574	3.484
DNK	Denmark	2006-03	2.8477	3.7043
DNK	Denmark	2006-04	2.9226	3.9747
DNK	Denmark	2006-05	2.9779	4.0239
DNK	Denmark	2006-06	3.0805	4.0288
DNK	Denmark	2006-07	3.2044	4.0635
DNK	Denmark	2006-08	3.3311	3.9339
DNK	Denmark	2006-09	3.4463	3.7919
DNK	Denmark	2006-10	3.6145	3.8781
DNK	Denmark	2006-11	3.7245	3.775
DNK	Denmark	2006-12	3.8371	3.7766
DNK	Denmark	2007-01	3.9204	3.9957
DNK	Denmark	2007-02	3.9949	4.0544
DNK	Denmark	2007-03	4.0726	3.9584
DNK	Denmark	2007-04	4.1684	4.1821
DNK	Denmark	2007-05	4.2832	4.3375
DNK	Denmark	2007-06	4.373	4.6448
DNK	Denmark	2007-07	4.4158	4.5822
DNK	Denmark	2007-08	4.6605	4.3913
DNK	Denmark	2007-09	4.8493	4.3574
DNK	Denmark	2007-10	4.8356	4.3941
DNK	Denmark	2007-11	4.8184	4.207
DNK	Denmark	2007-12	4.9196	4.3344
DNK	Denmark	2008-01	4.7199	4.1486
DNK	Denmark	2008-02	4.6148	4.0819
DNK	Denmark	2008-03	4.8007	4.0372
DNK	Denmark	2008-04	4.9955	4.285
DNK	Denmark	2008-05	5.1507	4.4154
DNK	Denmark	2008-06	5.3286	4.8242
DNK	Denmark	2008-07	5.3789	4.7771
DNK	Denmark	2008-08	5.3833	4.4855
DNK	Denmark	2008-09	5.4176	4.3728
DNK	Denmark	2008-10	5.9903	4.3929
DNK	Denmark	2008-11	6.0757	4.0567
DNK	Denmark	2008-12	5.3699	3.4998
DNK	Denmark	2009-01	4.4204	3.442
DNK	Denmark	2009-02	3.8595	3.5502
DNK	Denmark	2009-03	3.2773	3.44
DNK	Denmark	2009-04	2.9361	3.4995
DNK	Denmark	2009-05	2.6695	3.6156
DNK	Denmark	2009-06	2.3308	3.7557
DNK	Denmark	2009-07	2.0642	3.7362
DNK	Denmark	2009-08	1.938	3.6024
DNK	Denmark	2009-09	1.7625	3.6461
DNK	Denmark	2009-10	1.5828	3.5956
DNK	Denmark	2009-11	1.5587	3.6221
DNK	Denmark	2009-12	1.5521	3.5295
DNK	Denmark	2010-01	1.4587	3.5684
DNK	Denmark	2010-02	1.3927	3.4963
DNK	Denmark	2010-03	1.3717	3.3997
DNK	Denmark	2010-04	1.2835	3.3428
DNK	Denmark	2010-05	1.252	2.9282
DNK	Denmark	2010-06	1.152	2.7013
DNK	Denmark	2010-07	1.1341	2.7158
DNK	Denmark	2010-08	1.1451	2.4457
DNK	Denmark	2010-09	1.146	2.3953
DNK	Denmark	2010-10	1.1913	2.4556
DNK	Denmark	2010-11	1.2388	2.6516
DNK	Denmark	2010-12	1.2117	3.012
DNK	Denmark	2011-01	1.2161	3.0519
DNK	Denmark	2011-02	1.2398	3.23
DNK	Denmark	2011-03	1.3074	3.289
DNK	Denmark	2011-04	1.4083	3.4156
DNK	Denmark	2011-05	1.457	3.1314
DNK	Denmark	2011-06	1.5136	2.9584
DNK	Denmark	2011-07	1.6625	3.0157
DNK	Denmark	2011-08	1.6041	2.4943
DNK	Denmark	2011-09	1.4366	2.0709
DNK	Denmark	2011-10	1.3974	2.2324
DNK	Denmark	2011-11	1.2877	2.0055
DNK	Denmark	2011-12	1.0837	1.8571
DNK	Denmark	2012-01	1.0069	1.7345
DNK	Denmark	2012-02	1.0007	1.8438
DNK	Denmark	2012-03	0.9878	1.8868
DNK	Denmark	2012-04	0.9652	1.7141
DNK	Denmark	2012-05	0.9009	1.3689
DNK	Denmark	2012-06	0.6214	1.255
DNK	Denmark	2012-07	0.4068	1.1005
DNK	Denmark	2012-08	0.3124	1.1487
DNK	Denmark	2012-09	0.3217	1.3095
DNK	Denmark	2012-10	0.3345	1.2922
DNK	Denmark	2012-11	0.3009	1.1127
DNK	Denmark	2012-12	0.2771	1.07
DNK	Denmark	2013-01	0.3051	1.61
DNK	Denmark	2013-02	0.3285	1.73
DNK	Denmark	2013-03	0.2743	1.59
DNK	Denmark	2013-04	0.26	1.42
DNK	Denmark	2013-05	0.2403	1.45
DNK	Denmark	2013-06	0.2582	1.72
DNK	Denmark	2013-07	0.2684	1.77
DNK	Denmark	2013-08	0.2681	1.94
DNK	Denmark	2013-09	0.2711	2.1
DNK	Denmark	2013-10	0.273	1.93
DNK	Denmark	2013-11	0.2536	1.8
DNK	Denmark	2013-12	0.2585	1.89
DNK	Denmark	2014-01	0.28	1.86
DNK	Denmark	2014-02	0.27	1.67
DNK	Denmark	2014-03	0.29	1.61
DNK	Denmark	2014-04	0.31	1.57
DNK	Denmark	2014-05	0.35	1.47
DNK	Denmark	2014-06	0.36	1.38
DNK	Denmark	2014-07	0.38	1.24
DNK	Denmark	2014-08	0.37	1.07
DNK	Denmark	2014-09	0.28	0.96
DNK	Denmark	2014-10	0.3	1.13
DNK	Denmark	2014-11	0.3	1.03
DNK	Denmark	2014-12	0.3	0.93
DNK	Denmark	2015-01	0.18	0.63
DNK	Denmark	2015-02	-0.33	0.2
DNK	Denmark	2015-03	-0.19	0.3
DNK	Denmark	2015-04	-0.19	0.25
DNK	Denmark	2015-05	-0.18	0.73
DNK	Denmark	2015-06	-0.2	1
DNK	Denmark	2015-07	-0.16	0.94
DNK	Denmark	2015-08	-0.07	0.84
DNK	Denmark	2015-09	-0.01	0.93
DNK	Denmark	2015-10	-0.07	0.83
DNK	Denmark	2015-11	-0.14	0.81
DNK	Denmark	2015-12	-0.13	0.83
DNK	Denmark	2016-01	-0.06	0.79
DNK	Denmark	2016-02	-0.08	0.55
DNK	Denmark	2016-03	-0.13	0.51
DNK	Denmark	2016-04	-0.09	0.4
DNK	Denmark	2016-05	-0.09	0.41
DNK	Denmark	2016-06	-0.17	0.23
DNK	Denmark	2016-07	-0.19	0.07
DNK	Denmark	2016-08	-0.21	0.04
DNK	Denmark	2016-09	-0.19	0.01
DNK	Denmark	2016-10	-0.2	0.13
DNK	Denmark	2016-11	-0.18	0.32
DNK	Denmark	2016-12	-0.2	0.39
DNK	Denmark	2017-01	-0.23	0.37
DNK	Denmark	2017-02	-0.23	0.33
DNK	Denmark	2017-03	-0.25	0.19
DNK	Denmark	2017-04	-0.26	0.55
DNK	Denmark	2017-05	-0.23	0.64
DNK	Denmark	2017-06	-0.23	0.53
DNK	Denmark	2017-07	-0.24	0.67
DNK	Denmark	2017-08	-0.27	0.55
DNK	Denmark	2017-09	-0.31	0.51
DNK	Denmark	2017-10	-0.31	0.53
DNK	Denmark	2017-11	-0.31	0.44
DNK	Denmark	2017-12	-0.3	0.41
ESP	Spain	2000-01	3.3431	5.757476
ESP	Spain	2000-02	3.5368	5.731476
ESP	Spain	2000-03	3.747	5.55013
ESP	Spain	2000-04	3.9253	5.452111
ESP	Spain	2000-05	4.362	5.626591
ESP	Spain	2000-06	4.5017	5.454955
ESP	Spain	2000-07	4.5829	5.534143
ESP	Spain	2000-08	4.7771	5.500591
ESP	Spain	2000-09	4.8528	5.559143
ESP	Spain	2000-10	5.0413	5.494667
ESP	Spain	2000-11	5.092	5.445636
ESP	Spain	2000-12	4.9392	5.203474
ESP	Spain	2001-01	4.7707	5.076909
ESP	Spain	2001-02	4.7558	5.11675
ESP	Spain	2001-03	4.7086	5.040909
ESP	Spain	2001-04	4.682	5.179526
ESP	Spain	2001-05	4.6367	5.363182
ESP	Spain	2001-06	4.4536	5.326571
ESP	Spain	2001-07	4.4671	5.347864
ESP	Spain	2001-08	4.3535	5.155783
ESP	Spain	2001-09	3.9829	5.13845
ESP	Spain	2001-10	3.5999	4.908957
ESP	Spain	2001-11	3.3857	4.760727
ESP	Spain	2001-12	3.3449	4.967778
ESP	Spain	2002-01	3.3388	5.045318
ESP	Spain	2002-02	3.3571	5.10645
ESP	Spain	2002-03	3.3908	5.3363
ESP	Spain	2002-04	3.4069	5.335667
ESP	Spain	2002-05	3.4671	5.361409
ESP	Spain	2002-06	3.464	5.2311
ESP	Spain	2002-07	3.41	5.068956
ESP	Spain	2002-08	3.3519	4.777727
ESP	Spain	2002-09	3.3101	4.575953
ESP	Spain	2002-10	3.2613	4.625
ESP	Spain	2002-11	3.1241	4.602286
ESP	Spain	2002-12	2.941	4.425526
ESP	Spain	2003-01	2.8318	4.239409
ESP	Spain	2003-02	2.6875	4.01075
ESP	Spain	2003-03	2.53	4.035238
ESP	Spain	2003-04	2.5333	4.1884
ESP	Spain	2003-05	2.4005	3.876667
ESP	Spain	2003-06	2.1519	3.688143
ESP	Spain	2003-07	2.13	4.031218
ESP	Spain	2003-08	2.1404	4.191381
ESP	Spain	2003-09	2.1473	4.209
ESP	Spain	2003-10	2.1436	4.268652
ESP	Spain	2003-11	2.159	4.39835
ESP	Spain	2003-12	2.1463	4.339316
ESP	Spain	2004-01	2.0895	4.191571
ESP	Spain	2004-02	2.0706	4.14815
ESP	Spain	2004-03	2.0288	4.011696
ESP	Spain	2004-04	2.0488	4.19905
ESP	Spain	2004-05	2.0859	4.334381
ESP	Spain	2004-06	2.1127	4.390182
ESP	Spain	2004-07	2.116	4.2815
ESP	Spain	2004-08	2.1143	4.151091
ESP	Spain	2004-09	2.1186	4.082455
ESP	Spain	2004-10	2.1473	3.965429
ESP	Spain	2004-11	2.1703	3.850864
ESP	Spain	2004-12	2.1732	3.643348
ESP	Spain	2005-01	2.1454	3.590952
ESP	Spain	2005-02	2.1384	3.58065
ESP	Spain	2005-03	2.1372	3.733428
ESP	Spain	2005-04	2.1372	3.529286
ESP	Spain	2005-05	2.1256	3.359682
ESP	Spain	2005-06	2.111	3.185409
ESP	Spain	2005-07	2.1194	3.219476
ESP	Spain	2005-08	2.1325	3.231261
ESP	Spain	2005-09	2.1391	3.088364
ESP	Spain	2005-10	2.1966	3.272524
ESP	Spain	2005-11	2.3609	3.476591
ESP	Spain	2005-12	2.4729	3.368572
ESP	Spain	2006-01	2.5117	3.330591
ESP	Spain	2006-02	2.6004	3.4829
ESP	Spain	2006-03	2.7226	3.648913
ESP	Spain	2006-04	2.7938	3.918889
ESP	Spain	2006-05	2.889	3.986318
ESP	Spain	2006-06	2.9857	3.988182
ESP	Spain	2006-07	3.1022	4.023905
ESP	Spain	2006-08	3.2265	3.892565
ESP	Spain	2006-09	3.3354	3.763286
ESP	Spain	2006-10	3.502	3.812909
ESP	Spain	2006-11	3.5972	3.747
ESP	Spain	2006-12	3.6842	3.816263
ESP	Spain	2007-01	3.7519	4.072454
ESP	Spain	2007-02	3.8182	4.1108
ESP	Spain	2007-03	3.8909	4.008682
ESP	Spain	2007-04	3.9753	4.208737
ESP	Spain	2007-05	4.0714	4.336286
ESP	Spain	2007-06	4.1478	4.620286
ESP	Spain	2007-07	4.2162	4.596227
ESP	Spain	2007-08	4.5436	4.39813
ESP	Spain	2007-09	4.7417	4.354
ESP	Spain	2007-10	4.6874	4.378348
ESP	Spain	2007-11	4.6385	4.247864
ESP	Spain	2007-12	4.8484	4.347706
ESP	Spain	2008-01	4.4815	4.182727
ESP	Spain	2008-02	4.3621	4.144095
ESP	Spain	2008-03	4.5964	4.117631
ESP	Spain	2008-04	4.7835	4.310273
ESP	Spain	2008-05	4.8574	4.42215
ESP	Spain	2008-06	4.9405	4.791619
ESP	Spain	2008-07	4.961	4.797863
ESP	Spain	2008-08	4.9652	4.559118
ESP	Spain	2008-09	5.0192	4.568333
ESP	Spain	2008-10	5.1131	4.466
ESP	Spain	2008-11	4.2383	4.1468
ESP	Spain	2008-12	3.2926	3.858176
ESP	Spain	2009-01	2.4565	4.145842
ESP	Spain	2009-02	1.9431	4.23355
ESP	Spain	2009-03	1.6355	4.058762
ESP	Spain	2009-04	1.4223	4.00575
ESP	Spain	2009-05	1.2817	4.05425
ESP	Spain	2009-06	1.2279	4.235045
ESP	Spain	2009-07	0.975	4.011957
ESP	Spain	2009-08	0.8605	3.778381
ESP	Spain	2009-09	0.7721	3.803227
ESP	Spain	2009-10	0.7375	3.771091
ESP	Spain	2009-11	0.7162	3.789524
ESP	Spain	2009-12	0.712	3.8042
ESP	Spain	2010-01	0.6798	3.98865
ESP	Spain	2010-02	0.6617	3.9781
ESP	Spain	2010-03	0.645	3.830478
ESP	Spain	2010-04	0.6447	3.901421
ESP	Spain	2010-05	0.6865	4.084143
ESP	Spain	2010-06	0.7276	4.5555
ESP	Spain	2010-07	0.8488	4.433091
ESP	Spain	2010-08	0.8955	4.037182
ESP	Spain	2010-09	0.8805	4.094636
