LOCATION	Country	TIME	ST	LT
AUT	Austria	2004-07	2.116	4.31
AUT	Austria	2004-08	2.1143	4.15
AUT	Austria	2004-09	2.1186	4.09
AUT	Austria	2004-10	2.1473	3.97
AUT	Austria	2004-11	2.1703	3.84
AUT	Austria	2004-12	2.1732	3.63
AUT	Austria	2005-01	2.1454	3.56
AUT	Austria	2005-02	2.1384	3.55
AUT	Austria	2005-03	2.1372	3.7
AUT	Austria	2005-04	2.1372	3.5
AUT	Austria	2005-05	2.1256	3.41
AUT	Austria	2005-06	2.111	3.23
AUT	Austria	2005-07	2.1194	3.27
AUT	Austria	2005-08	2.1325	3.28
AUT	Austria	2005-09	2.1391	3.12
AUT	Austria	2005-10	2.1966	3.27
AUT	Austria	2005-11	2.3609	3.48
AUT	Austria	2005-12	2.4729	3.36
AUT	Austria	2006-01	2.5117	3.33
AUT	Austria	2006-02	2.6004	3.48
AUT	Austria	2006-03	2.7226	3.65
AUT	Austria	2006-04	2.7938	3.92
AUT	Austria	2006-05	2.889	4.03
AUT	Austria	2006-06	2.9857	4.03
AUT	Austria	2006-07	3.1022	4.05
AUT	Austria	2006-08	3.2265	3.92
AUT	Austria	2006-09	3.3354	3.79
AUT	Austria	2006-10	3.502	3.83
AUT	Austria	2006-11	3.5972	3.76
AUT	Austria	2006-12	3.6842	3.81
AUT	Austria	2007-01	3.7519	4.06
AUT	Austria	2007-02	3.8182	4.09
AUT	Austria	2007-03	3.8909	3.99
AUT	Austria	2007-04	3.9753	4.21
AUT	Austria	2007-05	4.0714	4.33
AUT	Austria	2007-06	4.1478	4.63
AUT	Austria	2007-07	4.2162	4.59
AUT	Austria	2007-08	4.5436	4.38
AUT	Austria	2007-09	4.7417	4.33
AUT	Austria	2007-10	4.6874	4.4
AUT	Austria	2007-11	4.6385	4.21
AUT	Austria	2007-12	4.8484	4.35
AUT	Austria	2008-01	4.4815	4.22
AUT	Austria	2008-02	4.3621	4.18
AUT	Austria	2008-03	4.5964	4.14
AUT	Austria	2008-04	4.7835	4.34
AUT	Austria	2008-05	4.8574	4.48
AUT	Austria	2008-06	4.9405	4.8
AUT	Austria	2008-07	4.961	4.78
AUT	Austria	2008-08	4.9652	4.48
AUT	Austria	2008-09	5.0192	4.46
AUT	Austria	2008-10	5.1131	4.33
AUT	Austria	2008-11	4.2383	4.19
AUT	Austria	2008-12	3.2926	3.9
AUT	Austria	2009-01	2.4565	4
AUT	Austria	2009-02	1.9431	4.21
AUT	Austria	2009-03	1.6355	4.16
AUT	Austria	2009-04	1.4223	4.04
AUT	Austria	2009-05	1.2817	4.1
AUT	Austria	2009-06	1.2279	4.32
AUT	Austria	2009-07	0.975	4.04
AUT	Austria	2009-08	0.8605	3.76
AUT	Austria	2009-09	0.7721	3.75
AUT	Austria	2009-10	0.7375	3.65
AUT	Austria	2009-11	0.7162	3.6
AUT	Austria	2009-12	0.712	3.61
AUT	Austria	2010-01	0.6798	3.75
AUT	Austria	2010-02	0.6617	3.66
AUT	Austria	2010-03	0.645	3.53
AUT	Austria	2010-04	0.6447	3.46
AUT	Austria	2010-05	0.6865	3.21
AUT	Austria	2010-06	0.7276	3.2
AUT	Austria	2010-07	0.8488	3.07
AUT	Austria	2010-08	0.8955	2.77
AUT	Austria	2010-09	0.8805	2.8
AUT	Austria	2010-10	0.9977	2.82
AUT	Austria	2010-11	1.042	3.01
AUT	Austria	2010-12	1.0217	3.43
AUT	Austria	2011-01	1.0172	3.54
AUT	Austria	2011-02	1.0867	3.68
AUT	Austria	2011-03	1.1755	3.68
AUT	Austria	2011-04	1.3212	3.76
AUT	Austria	2011-05	1.4251	3.53
AUT	Austria	2011-06	1.4886	3.43
AUT	Austria	2011-07	1.5976	3.35
AUT	Austria	2011-08	1.5521	2.84
AUT	Austria	2011-09	1.5365	2.64
AUT	Austria	2011-10	1.5759	2.92
AUT	Austria	2011-11	1.4847	3.36
AUT	Austria	2011-12	1.4261	3.1
AUT	Austria	2012-01	1.2222	3.27
