"Country"	"Date"	"Fuel"	"Price"	"Reg"
"Austria"	2014-05-01	"Super"	1363.75	26986
"Austria"	2014-05-01	"Diesel"	1312.75	26986
"Austria"	2014-06-01	"Diesel"	1320.6	29100
"Austria"	2014-06-01	"Super"	1382.6	29100
"Austria"	2014-07-01	"Super"	1387	24772
"Austria"	2014-07-01	"Diesel"	1302.25	24772
"Austria"	2014-08-01	"Diesel"	1297.25	21121
"Austria"	2014-08-01	"Super"	1358	21121
"Austria"	2014-09-01	"Super"	1380	24863
"Austria"	2014-09-01	"Diesel"	1311	24863
"Austria"	2014-10-01	"Super"	1354.75	26945
"Austria"	2014-10-01	"Diesel"	1279.5	26945
"Austria"	2014-11-01	"Diesel"	1263	21619
"Austria"	2014-11-01	"Super"	1309.25	21619
"Austria"	2014-12-01	"Super"	1229.33333333333	17391
"Austria"	2014-12-01	"Diesel"	1194.66666666667	17391
"Austria"	2015-01-01	"Diesel"	1102.5	23427
"Austria"	2015-01-01	"Super"	1129	23427
"Austria"	2015-02-01	"Super"	1155.75	20641
"Austria"	2015-02-01	"Diesel"	1132	20641
"Austria"	2015-03-01	"Diesel"	1166	31086
"Austria"	2015-03-01	"Super"	1214.8	31086
"Austria"	2015-04-01	"Super"	1249	29500
"Austria"	2015-04-01	"Diesel"	1170	29500
"Austria"	2015-05-01	"Super"	1265.75	26517
"Austria"	2015-05-01	"Diesel"	1185.5	26517
"Austria"	2015-06-01	"Diesel"	1183.4	30462
"Austria"	2015-06-01	"Super"	1286	30462
"Austria"	2015-07-01	"Diesel"	1148.75	26917
"Austria"	2015-07-01	"Super"	1294.5	26917
"Austria"	2015-08-01	"Diesel"	1087.6	22677
"Austria"	2015-08-01	"Super"	1229.6	22677
"Austria"	2015-09-01	"Super"	1167.5	25966
"Austria"	2015-09-01	"Diesel"	1078.75	25966
"Austria"	2015-10-01	"Diesel"	1065.75	25149
"Austria"	2015-10-01	"Super"	1130.5	25149
"Austria"	2015-11-01	"Super"	1138.6	23381
"Austria"	2015-11-01	"Diesel"	1073	23381
"Austria"	2015-12-01	"Diesel"	1030.5	22832
"Austria"	2015-12-01	"Super"	1119	22832
"Austria"	2016-01-01	"Diesel"	964.5	24019
"Austria"	2016-01-01	"Super"	1074.75	24019
"Austria"	2016-02-01	"Diesel"	946.4	22495
"Austria"	2016-02-01	"Super"	1044.8	22495
"Austria"	2016-03-01	"Diesel"	976	31941
"Austria"	2016-03-01	"Super"	1050.33333333333	31941
"Austria"	2016-04-01	"Super"	1097	31102
"Austria"	2016-04-01	"Diesel"	990.75	31102
"Austria"	2016-05-01	"Super"	1137.8	28462
"Austria"	2016-05-01	"Diesel"	1039.6	28462
"Austria"	2016-06-01	"Super"	1154.5	33751
"Austria"	2016-06-01	"Diesel"	1065	33751
"Austria"	2016-07-01	"Super"	1129	26882
"Austria"	2016-07-01	"Diesel"	1051.75	26882
"Austria"	2016-08-01	"Super"	1101	23690
"Austria"	2016-08-01	"Diesel"	1029.6	23690
"Austria"	2016-09-01	"Diesel"	1046.75	29836
"Austria"	2016-09-01	"Super"	1117.5	29836
"Austria"	2016-10-01	"Super"	1145	26273
"Austria"	2016-10-01	"Diesel"	1080.2	26273
"Austria"	2016-11-01	"Super"	1125.25	25491
"Austria"	2016-11-01	"Diesel"	1070.75	25491
"Austria"	2016-12-01	"Super"	1161.66666666667	25662
"Austria"	2016-12-01	"Diesel"	1115.66666666667	25662
"Austria"	2017-01-01	"Diesel"	1133.6	26352
"Austria"	2017-01-01	"Super"	1190.2	26352
"Austria"	2017-02-01	"Diesel"	1131.5	25311
"Austria"	2017-02-01	"Super"	1200.75	25311
"Austria"	2017-03-01	"Diesel"	1111	36830
"Austria"	2017-03-01	"Super"	1170.25	36830
"Austria"	2017-04-01	"Diesel"	1114	30201
"Austria"	2017-04-01	"Super"	1186.33333333333	30201
"Austria"	2017-05-01	"Super"	1176.2	32426
"Austria"	2017-05-01	"Diesel"	1093.4	32426
"Austria"	2017-06-01	"Super"	1157.5	35441
"Austria"	2017-06-01	"Diesel"	1071	35441
"Austria"	2017-07-01	"Diesel"	1057.8	27731
"Austria"	2017-07-01	"Super"	1145	27731
"Austria"	2017-08-01	"Diesel"	1068	26058
"Austria"	2017-08-01	"Super"	1152	26058
"Austria"	2017-09-01	"Diesel"	1098.25	29528
"Austria"	2017-09-01	"Super"	1185	29528
"Austria"	2017-10-01	"Diesel"	1116	28244
"Austria"	2017-10-01	"Super"	1177.4	28244
"Austria"	2017-11-01	"Diesel"	1143	29547
"Austria"	2017-11-01	"Super"	1205	29547
"Austria"	2017-12-01	"Diesel"	1143	25651
"Austria"	2017-12-01	"Super"	1195.66666666667	25651
"Belgium"	2005-01-01	"Diesel"	864.8	50958
"Belgium"	2005-01-01	"Super"	1065.666	50958
"Belgium"	2005-02-01	"Diesel"	875.4175	45171
"Belgium"	2005-02-01	"Super"	1117.085	45171
"Belgium"	2005-03-01	"Super"	1129.22333333333	51869
"Belgium"	2005-03-01	"Diesel"	914.78	51869
"Belgium"	2005-04-01	"Diesel"	971.4175	48036
"Belgium"	2005-04-01	"Super"	1199.0825	48036
"Belgium"	2005-05-01	"Super"	1187.466	41322
"Belgium"	2005-05-01	"Diesel"	970.466	41322
"Belgium"	2005-06-01	"Diesel"	1027	49041
